# description : WCU focal plane mask, grid LMS
# name : WCU FP mask
# author : Oliver Czoske
# source : LMS_astrometric_calibration_mask.pdf, RvB
# date_created : 2025-08-02
# date_modified : 2025-08-02
# status : Design
# type : aperture:aperture_mask
# x_unit : arcsec
# y_unit : arcsec
# diam_unit : arcsec
# changes :
#
 x         y          diam
-0.320850    0.320850   0.007539
-0.155250    0.320850   0.007539
 0.010350    0.320850   0.007539
 0.175950    0.320850   0.007539
 0.341550    0.320850   0.007539
-0.320850    0.155250   0.007539
-0.155250    0.155250   0.007539
 0.010350    0.155250   0.007539
 0.175950    0.155250   0.007539
 0.341550    0.155250   0.007539
-0.320850   -0.010350   0.007539
-0.155250   -0.010350   0.007539
 0.010350   -0.010350   0.007539
 0.175950   -0.010350   0.007539
 0.341550   -0.010350   0.007539
-0.320850   -0.175950   0.007539
 0.010350   -0.175950   0.007539
 0.175950   -0.175950   0.007539
 0.341550   -0.175950   0.007539
-0.320850   -0.341550   0.007539
-0.155250   -0.341550   0.007539
 0.010350   -0.341550   0.007539
 0.175950   -0.341550   0.007539
 0.341550   -0.341550   0.007539
